country_name,country_code,year,current_health_expenditure_per_capita
Afghanistan,AFG,2000,..
Afghanistan,AFG,2019,74.0642395
Albania,ALB,2000,65.47674561
Albania,ALB,2019,366.34014893
Algeria,DZA,2000,61.85785294
Algeria,DZA,2019,242.07049561
American Samoa,ASM,2000,..
American Samoa,ASM,2019,..
Andorra,AND,2000,1294.09118652
Andorra,AND,2019,3021.078125
Angola,AGO,2000,13.15998554
Angola,AGO,2019,64.4466095
Antigua and Barbuda,ATG,2000,520.12213135
Antigua and Barbuda,ATG,2019,808.14996338
Argentina,ARG,2000,702.23309326
Argentina,ARG,2019,1007.45629883
Armenia,ARM,2000,25.6606369
Armenia,ARM,2019,533.69952393
Aruba,ABW,2000,..
Aruba,ABW,2019,..
Australia,AUS,2000,1626.73388672
Australia,AUS,2019,5543.37841797
Austria,AUT,2000,2301.89208984
Austria,AUT,2019,5313.19287109
Azerbaijan,AZE,2000,19.01968193
Azerbaijan,AZE,2019,199.25746155
"Bahamas, The",BHS,2000,948.88244629
"Bahamas, The",BHS,2019,1881.40393066
Bahrain,BHR,2000,451.50253296
Bahrain,BHR,2019,1030.26379395
Bangladesh,BGD,2000,8.27585602
Bangladesh,BGD,2019,45.07677078
Barbados,BRB,2000,622.47875977
Barbados,BRB,2019,1168.11938477
Belarus,BLR,2000,57.02944183
Belarus,BLR,2019,400.11621094
Belgium,BEL,2000,1849.91601563
Belgium,BEL,2019,5087.45654297
Belize,BLZ,2000,139.00151062
Belize,BLZ,2019,298.14306641
Benin,BEN,2000,14.42371464
Benin,BEN,2019,33.9457283
Bermuda,BMU,2000,..
Bermuda,BMU,2019,..
Bhutan,BTN,2000,30.5911293
Bhutan,BTN,2019,115.71811676
Bolivia,BOL,2000,42.89028168
Bolivia,BOL,2019,241.34619141
Bosnia and Herzegovina,BIH,2000,106.5786972
Bosnia and Herzegovina,BIH,2019,546.4508667
Botswana,BWA,2000,206.93144226
Botswana,BWA,2019,438.28546143
Brazil,BRA,2000,313.92590332
Brazil,BRA,2019,868.17248535
British Virgin Islands,VGB,2000,..
British Virgin Islands,VGB,2019,..
Brunei Darussalam,BRN,2000,519.05047607
Brunei Darussalam,BRN,2019,678.81982422
Bulgaria,BGR,2000,94.51976013
Bulgaria,BGR,2019,733.06878662
Burkina Faso,BFA,2000,10.00902748
Burkina Faso,BFA,2019,41.06895828
Burundi,BDI,2000,5.67927122
Burundi,BDI,2019,22.2435379
Cabo Verde,CPV,2000,59.54011154
Cabo Verde,CPV,2019,211.24963379
Cambodia,KHM,2000,19.27847862
Cambodia,KHM,2019,112.5851059
Cameroon,CMR,2000,30.438097
Cameroon,CMR,2019,56.79493713
Canada,CAN,2000,1988.15942383
Canada,CAN,2019,5098.88720703
Cayman Islands,CYM,2000,..
Cayman Islands,CYM,2019,..
Central African Republic,CAF,2000,9.9123354
Central African Republic,CAF,2019,35.76099014
Chad,TCD,2000,10.07452297
Chad,TCD,2019,30.23690224
Channel Islands,CHI,2000,..
Channel Islands,CHI,2019,..
Chile,CHL,2000,353.25033569
Chile,CHL,2019,1348.99401855
China,CHN,2000,42.80797577
China,CHN,2019,538.99157715
Colombia,COL,2000,134.71453857
Colombia,COL,2019,507.06231689
Comoros,COM,2000,47.59479904
Comoros,COM,2019,78.23674774
"Congo, Dem. Rep.",COD,2000,17.52071953
"Congo, Dem. Rep.",COD,2019,19.20812035
"Congo, Rep.",COG,2000,17.35089302
"Congo, Rep.",COG,2019,58.42106628
Costa Rica,CRI,2000,250.30950928
Costa Rica,CRI,2019,930.43511963
Cote d'Ivoire,CIV,2000,30.33073425
Cote d'Ivoire,CIV,2019,68.30471039
Croatia,HRV,2000,385.78341675
Croatia,HRV,2019,1063.54443359
Cuba,CUB,2000,181.09315491
Cuba,CUB,2019,1023.39715576
Curacao,CUW,2000,..
Curacao,CUW,2019,..
Cyprus,CYP,2000,750.51672363
Cyprus,CYP,2019,2059.45019531
Czechia,CZE,2000,342.92108154
Czechia,CZE,2019,1805.44030762
Denmark,DNK,2000,2491.54174805
Denmark,DNK,2019,6049.93408203
Djibouti,DJI,2000,35.48954773
Djibouti,DJI,2019,68.4744873
Dominica,DMA,2000,259.0213623
Dominica,DMA,2019,465.63766479
Dominican Republic,DOM,2000,138.29624939
Dominican Republic,DOM,2019,357.44137573
Ecuador,ECU,2000,49.37281418
Ecuador,ECU,2019,484.54037476
"Egypt, Arab Rep.",EGY,2000,69.37174988
"Egypt, Arab Rep.",EGY,2019,142.69670105
El Salvador,SLV,2000,155.52601624
El Salvador,SLV,2019,380.53384399
Equatorial Guinea,GNQ,2000,20.14153671
Equatorial Guinea,GNQ,2019,223.14128113
Eritrea,ERI,2000,14.03034782
Eritrea,ERI,2019,28.42930794
Estonia,EST,2000,209.97769165
Estonia,EST,2019,1599.3503418
Eswatini,SWZ,2000,76.93126678
Eswatini,SWZ,2019,320.05084229
Ethiopia,ETH,2000,5.28970861
Ethiopia,ETH,2019,25.93511963
Faroe Islands,FRO,2000,..
Faroe Islands,FRO,2019,..
