country_name,country_code,year,death_rate
Afghanistan,AFG,2000,12.608
Afghanistan,AFG,2019,7.064
Albania,ALB,2000,5.619
Albania,ALB,2019,7.473
Algeria,DZA,2000,5.109
Algeria,DZA,2019,4.681
American Samoa,ASM,2000,4.421
American Samoa,ASM,2019,6.191
Andorra,AND,2000,6.228
Andorra,AND,2019,5.560
Angola,AGO,2000,18.080
Angola,AGO,2019,7.701
Antigua and Barbuda,ATG,2000,6.254
Antigua and Barbuda,ATG,2019,6.448
Argentina,ARG,2000,7.570
Argentina,ARG,2019,7.676
Armenia,ARM,2000,7.500
Armenia,ARM,2019,8.800
Aruba,ABW,2000,5.850
Aruba,ABW,2019,6.145
Australia,AUS,2000,6.700
Australia,AUS,2019,6.700
Austria,AUT,2000,9.600
Austria,AUT,2019,9.400
Azerbaijan,AZE,2000,5.800
Azerbaijan,AZE,2019,5.600
"Bahamas, The",BHS,2000,6.485
"Bahamas, The",BHS,2019,9.321
Bahrain,BHR,2000,2.646
Bahrain,BHR,2019,2.104
Bangladesh,BGD,2000,8.276
Bangladesh,BGD,2019,5.372
Barbados,BRB,2000,9.130
Barbados,BRB,2019,9.517
Belarus,BLR,2000,13.500
Belarus,BLR,2019,12.800
Belgium,BEL,2000,10.200
Belgium,BEL,2019,9.500
Belize,BLZ,2000,5.569
Belize,BLZ,2019,5.040
Benin,BEN,2000,11.890
Benin,BEN,2019,9.335
Bermuda,BMU,2000,6.436
Bermuda,BMU,2019,8.705
Bhutan,BTN,2000,8.188
Bhutan,BTN,2019,6.350
Bolivia,BOL,2000,9.745
Bolivia,BOL,2019,7.555
Bosnia and Herzegovina,BIH,2000,7.413
Bosnia and Herzegovina,BIH,2019,13.102
Botswana,BWA,2000,12.525
Botswana,BWA,2019,6.408
Brazil,BRA,2000,6.248
Brazil,BRA,2019,6.452
British Virgin Islands,VGB,2000,4.555
British Virgin Islands,VGB,2019,5.724
Brunei Darussalam,BRN,2000,3.472
Brunei Darussalam,BRN,2019,4.779
Bulgaria,BGR,2000,14.100
Bulgaria,BGR,2019,16.300
Burkina Faso,BFA,2000,15.332
Burkina Faso,BFA,2019,8.564
Burundi,BDI,2000,15.854
Burundi,BDI,2019,7.394
Cabo Verde,CPV,2000,6.350
Cabo Verde,CPV,2019,5.004
Cambodia,KHM,2000,8.700
Cambodia,KHM,2019,6.189
Cameroon,CMR,2000,13.275
Cameroon,CMR,2019,8.163
Canada,CAN,2000,7.100
Canada,CAN,2019,7.600
Cayman Islands,CYM,2000,5.552
Cayman Islands,CYM,2019,4.809
Central African Republic,CAF,2000,16.632
Central African Republic,CAF,2019,30.250
Chad,TCD,2000,17.852
Chad,TCD,2019,12.519
Channel Islands,CHI,2000,9.200
Channel Islands,CHI,2019,9.700
Chile,CHL,2000,5.011
Chile,CHL,2019,6.460
China,CHN,2000,6.450
China,CHN,2019,7.090
Colombia,COL,2000,5.574
Colombia,COL,2019,5.380
Comoros,COM,2000,10.606
Comoros,COM,2019,7.644
"Congo, Dem. Rep.",COD,2000,14.619
"Congo, Dem. Rep.",COD,2019,9.460
"Congo, Rep.",COG,2000,11.257
"Congo, Rep.",COG,2019,7.344
Costa Rica,CRI,2000,3.916
Costa Rica,CRI,2019,5.124
Cote d'Ivoire,CIV,2000,13.478
Cote d'Ivoire,CIV,2019,8.492
Croatia,HRV,2000,11.200
Croatia,HRV,2019,12.700
Cuba,CUB,2000,7.354
Cuba,CUB,2019,10.047
Curacao,CUW,2000,7.989
Curacao,CUW,2019,8.800
Cyprus,CYP,2000,6.616
Cyprus,CYP,2019,6.600
Czechia,CZE,2000,10.600
Czechia,CZE,2019,10.500
Denmark,DNK,2000,10.900
Denmark,DNK,2019,9.300
Djibouti,DJI,2000,10.692
Djibouti,DJI,2019,7.797
Dominica,DMA,2000,9.729
Dominica,DMA,2019,12.611
Dominican Republic,DOM,2000,5.557
