country_name,country_code,year,pop_65_plus
Afghanistan,AFG,2000,2.26197021
Afghanistan,AFG,2019,2.376153383
Albania,ALB,2000,7.330691321
Albania,ALB,2019,14.24809866
Algeria,DZA,2000,4.383120994
Algeria,DZA,2019,5.774977985
American Samoa,ASM,2000,3.277664917
American Samoa,ASM,2019,6.083570675
Andorra,AND,2000,12.32168684
Andorra,AND,2019,13.82570433
Angola,AGO,2000,2.673862403
Angola,AGO,2019,2.707977983
Antigua and Barbuda,ATG,2000,7.36063648
Antigua and Barbuda,ATG,2019,9.473148467
Argentina,ARG,2000,9.659777357
Argentina,ARG,2019,11.63253919
Armenia,ARM,2000,9.146608434
Armenia,ARM,2019,12.04533171
Aruba,ABW,2000,6.778276618
Aruba,ABW,2019,13.94196645
Australia,AUS,2000,12.33809266
Australia,AUS,2019,15.94506378
Austria,AUT,2000,15.44064167
Austria,AUT,2019,18.94029936
Azerbaijan,AZE,2000,5.534518306
Azerbaijan,AZE,2019,6.627641135
"Bahamas, The",BHS,2000,6.6936866
"Bahamas, The",BHS,2019,10.82436286
Bahrain,BHR,2000,2.249916179
Bahrain,BHR,2019,3.004468353
Bangladesh,BGD,2000,3.461401817
Bangladesh,BGD,2019,5.662558371
Barbados,BRB,2000,11.26503932
Barbados,BRB,2019,14.29567135
Belarus,BLR,2000,13.51880879
Belarus,BLR,2019,15.37194504
Belgium,BEL,2000,16.80524833
Belgium,BEL,2019,19.02983808
Belize,BLZ,2000,3.963471609
Belize,BLZ,2019,4.375130401
Benin,BEN,2000,3.162573379
Benin,BEN,2019,3.033271246
Bermuda,BMU,2000,10.83825477
Bermuda,BMU,2019,18.23279829
Bhutan,BTN,2000,3.76166725
Bhutan,BTN,2019,5.927965127
Bolivia,BOL,2000,5.254966245
Bolivia,BOL,2019,5.696375979
Bosnia and Herzegovina,BIH,2000,10.9806993
Bosnia and Herzegovina,BIH,2019,19.64568874
Botswana,BWA,2000,3.342290742
Botswana,BWA,2019,3.845553524
Brazil,BRA,2000,5.153056002
Brazil,BRA,2019,9.273074349
British Virgin Islands,VGB,2000,4.582170294
British Virgin Islands,VGB,2019,8.050666996
Brunei Darussalam,BRN,2000,2.791155062
Brunei Darussalam,BRN,2019,5.288357278
Bulgaria,BGR,2000,16.58326062
Bulgaria,BGR,2019,21.47945894
Burkina Faso,BFA,2000,2.943668279
Burkina Faso,BFA,2019,2.559186698
Burundi,BDI,2000,2.399688665
Burundi,BDI,2019,2.401268215
Cabo Verde,CPV,2000,4.848809058
Cabo Verde,CPV,2019,5.814290494
Cambodia,KHM,2000,2.816518395
Cambodia,KHM,2019,5.273077907
Cameroon,CMR,2000,3.327521482
Cameroon,CMR,2019,2.784299204
Canada,CAN,2000,12.53630939
Canada,CAN,2019,17.53185952
Cayman Islands,CYM,2000,5.565357665
Cayman Islands,CYM,2019,7.163545086
Central African Republic,CAF,2000,2.317397549
Central African Republic,CAF,2019,2.188553874
Chad,TCD,2000,2.826525744
Chad,TCD,2019,2.04845629
Channel Islands,CHI,2000,14.44780533
Channel Islands,CHI,2019,18.58518474
Chile,CHL,2000,8.176872714
Chile,CHL,2019,12.32606029
China,CHN,2000,7.017475741
China,CHN,2019,12.06136597
Colombia,COL,2000,4.55122155
Colombia,COL,2019,8.190322651
Comoros,COM,2000,4.183428018
Comoros,COM,2019,4.457917714
"Congo, Dem. Rep.",COD,2000,2.957171172
"Congo, Dem. Rep.",COD,2019,3.093294918
"Congo, Rep.",COG,2000,3.126870729
"Congo, Rep.",COG,2019,2.727750527
Costa Rica,CRI,2000,5.569668279
Costa Rica,CRI,2019,10.10547242
Cote d'Ivoire,CIV,2000,2.429568918
