country_name,country_code,year,pop_65_plus
Afghanistan,AFG,2000,2.26197021
Afghanistan,AFG,2019,2.37615338
Albania,ALB,2000,7.33069132
Albania,ALB,2019,14.24809866
Algeria,DZA,2000,4.38312099
Algeria,DZA,2019,5.77497798
American Samoa,ASM,2000,3.27766492
American Samoa,ASM,2019,6.08357067
Andorra,AND,2000,12.32168684
Andorra,AND,2019,13.82570433
Angola,AGO,2000,2.67386240
Angola,AGO,2019,2.70797798
Antigua and Barbuda,ATG,2000,7.36063648
Antigua and Barbuda,ATG,2019,9.47314847
Argentina,ARG,2000,9.65977736
Argentina,ARG,2019,11.63253919
Armenia,ARM,2000,9.14660843
Armenia,ARM,2019,12.04533171
Aruba,ABW,2000,6.77827662
Aruba,ABW,2019,13.94196645
Australia,AUS,2000,12.33809266
Australia,AUS,2019,15.94506378
Austria,AUT,2000,15.44064167
Austria,AUT,2019,18.94029936
Azerbaijan,AZE,2000,5.53451831
Azerbaijan,AZE,2019,6.62764113
"Bahamas, The",BHS,2000,6.69368660
"Bahamas, The",BHS,2019,10.82436286
Bahrain,BHR,2000,2.24991618
Bahrain,BHR,2019,3.00446835
Bangladesh,BGD,2000,3.46140182
Bangladesh,BGD,2019,5.66255837
Barbados,BRB,2000,11.26503932
Barbados,BRB,2019,14.29567135
Belarus,BLR,2000,13.51880879
Belarus,BLR,2019,15.37194504
Belgium,BEL,2000,16.80524833
Belgium,BEL,2019,19.02983808
Belize,BLZ,2000,3.96347161
Belize,BLZ,2019,4.37513040
Benin,BEN,2000,3.16257338
Benin,BEN,2019,3.03327125
Bermuda,BMU,2000,10.83825477
Bermuda,BMU,2019,18.23279829
Bhutan,BTN,2000,3.76166725
Bhutan,BTN,2019,5.92796513
Bolivia,BOL,2000,5.25496625
Bolivia,BOL,2019,5.69637598
Bosnia and Herzegovina,BIH,2000,10.98069930
Bosnia and Herzegovina,BIH,2019,19.64568874
Botswana,BWA,2000,3.34229074
Botswana,BWA,2019,3.84555352
Brazil,BRA,2000,5.15305600
Brazil,BRA,2019,9.27307435
British Virgin Islands,VGB,2000,4.58217029
British Virgin Islands,VGB,2019,8.05066700
Brunei Darussalam,BRN,2000,2.79115506
Brunei Darussalam,BRN,2019,5.28835728
Bulgaria,BGR,2000,16.58326062
Bulgaria,BGR,2019,21.47945894
Burkina Faso,BFA,2000,2.94366828
Burkina Faso,BFA,2019,2.55918670
Burundi,BDI,2000,2.39968866
Burundi,BDI,2019,2.40126821
Cabo Verde,CPV,2000,4.84880906
Cabo Verde,CPV,2019,5.81429049
Cambodia,KHM,2000,2.81651840
Cambodia,KHM,2019,5.27307791
Cameroon,CMR,2000,3.32752148
Cameroon,CMR,2019,2.78429920
Canada,CAN,2000,12.53630939
Canada,CAN,2019,17.53185952
Cayman Islands,CYM,2000,5.56535766
Cayman Islands,CYM,2019,7.16354509
Central African Republic,CAF,2000,2.31739755
Central African Republic,CAF,2019,2.18855387
Chad,TCD,2000,2.82652574
Chad,TCD,2019,2.04845629
Channel Islands,CHI,2000,14.44780533
Channel Islands,CHI,2019,18.58518474
Chile,CHL,2000,8.17687271
Chile,CHL,2019,12.32606029
China,CHN,2000,7.01747574
China,CHN,2019,12.06136597
Colombia,COL,2000,4.55122155
Colombia,COL,2019,8.19032265
Comoros,COM,2000,4.18342802
Comoros,COM,2019,4.45791771
"Congo, Dem. Rep.",COD,2000,2.95717117
"Congo, Dem. Rep.",COD,2019,3.09329492
"Congo, Rep.",COG,2000,3.12687073
"Congo, Rep.",COG,2019,2.72775053
Costa Rica,CRI,2000,5.56966828
Costa Rica,CRI,2019,10.10547242
Cote d'Ivoire,CIV,2000,2.42956892
Cote d'Ivoire,CIV,2019,2.48842186
Croatia,HRV,2000,15.91673294
Croatia,HRV,2019,21.18221639
Cuba,CUB,2000,9.81867267
Cuba,CUB,2019,15.36970537
Curacao,CUW,2000,9.13566758
Curacao,CUW,2019,14.14006320
Cyprus,CYP,2000,9.94469046
Cyprus,CYP,2019,13.38255336
Czechia,CZE,2000,13.76099415
Czechia,CZE,2019,19.94858774
Denmark,DNK,2000,14.81790455
Denmark,DNK,2019,19.71438023
Djibouti,DJI,2000,3.16424657
Djibouti,DJI,2019,4.40581459
Dominica,DMA,2000,9.86994789
Dominica,DMA,2019,11.96809098
Dominican Republic,DOM,2000,4.28668867
Dominican Republic,DOM,2019,6.58282666
Ecuador,ECU,2000,4.70853356
Ecuador,ECU,2019,7.40791181
"Egypt, Arab Rep.",EGY,2000,4.02584673
"Egypt, Arab Rep.",EGY,2019,4.59352900
El Salvador,SLV,2000,4.66835628
El Salvador,SLV,2019,7.62636269
Equatorial Guinea,GNQ,2000,3.32656030
Equatorial Guinea,GNQ,2019,3.44128197
Eritrea,ERI,2000,3.16749079
Eritrea,ERI,2019,4.06758052
Estonia,EST,2000,14.99337508
Estonia,EST,2019,19.89653469
Eswatini,SWZ,2000,2.38670807
Eswatini,SWZ,2019,3.79565954
Ethiopia,ETH,2000,2.61417882
Ethiopia,ETH,2019,3.03819036
Faroe Islands,FRO,2000,13.52094169
Faroe Islands,FRO,2019,17.48791991
Fiji,FJI,2000,3.43776794
Fiji,FJI,2019,5.82085792
Finland,FIN,2000,14.91645949
Finland,FIN,2019,22.06139384
France,FRA,2000,16.00864583
France,FRA,2019,20.41008888
French Polynesia,PYF,2000,4.21657922
French Polynesia,PYF,2019,8.77511123
Gabon,GAB,2000,4.92288757
Gabon,GAB,2019,3.99260398
"Gambia, The",GMB,2000,3.02332957
"Gambia, The",GMB,2019,2.71508895
Georgia,GEO,2000,12.40642525
Georgia,GEO,2019,14.70447208
Germany,DEU,2000,16.46073138
Germany,DEU,2019,21.62839331
Ghana,GHA,2000,3.14081208
Ghana,GHA,2019,3.43641156
Gibraltar,GIB,2000,15.13046303
Gibraltar,GIB,2019,17.46069758
Greece,GRC,2000,17.02535605
Greece,GRC,2019,22.12738530
Greenland,GRL,2000,5.04816887
Greenland,GRL,2019,8.58444476
Grenada,GRD,2000,8.49131232
Grenada,GRD,2019,10.75818126
Guam,GUM,2000,5.22225346
Guam,GUM,2019,10.33107139
Guatemala,GTM,2000,3.73815397
Guatemala,GTM,2019,4.46874606
Guinea,GIN,2000,3.95906004
Guinea,GIN,2019,3.45692450
Guinea-Bissau,GNB,2000,3.59018757
Guinea-Bissau,GNB,2019,2.98298111
Guyana,GUY,2000,3.84417754
Guyana,GUY,2019,5.79881510
Haiti,HTI,2000,3.57857517
Haiti,HTI,2019,4.37038160
Honduras,HND,2000,2.95559781
Honduras,HND,2019,3.88983564
"Hong Kong SAR, China",HKG,2000,11.11153370
"Hong Kong SAR, China",HKG,2019,17.95252566
Hungary,HUN,2000,14.90796003
Hungary,HUN,2019,19.60292299
Iceland,ISL,2000,11.57227673
Iceland,ISL,2019,14.29929900
India,IND,2000,4.41058747
India,IND,2019,6.22347304
Indonesia,IDN,2000,5.01249967
Indonesia,IDN,2019,6.48567879
"Iran, Islamic Rep.",IRN,2000,4.19808912
"Iran, Islamic Rep.",IRN,2019,7.01598841
Iraq,IRQ,2000,3.08035037
Iraq,IRQ,2019,3.31720320
Ireland,IRL,2000,11.18844155
Ireland,IRL,2019,14.24377788
Isle of Man,IMN,2000,16.88364900
Isle of Man,IMN,2019,21.59153848
Israel,ISR,2000,9.72425913
Israel,ISR,2019,11.88549917
Italy,ITA,2000,18.21676684
Italy,ITA,2019,23.10417109
Jamaica,JAM,2000,6.06064208
Jamaica,JAM,2019,6.94823487
Japan,JPN,2000,17.44183117
Japan,JPN,2019,28.62877075
Jordan,JOR,2000,2.69514514
Jordan,JOR,2019,3.77701554
Kazakhstan,KAZ,2000,6.69336584
Kazakhstan,KAZ,2019,7.48037891
Kenya,KEN,2000,2.22761136
Kenya,KEN,2019,2.74689323
Kiribati,KIR,2000,3.41315608
Kiribati,KIR,2019,3.89281838
"Korea, Dem. People's Rep.",PRK,2000,6.38613952
"Korea, Dem. People's Rep.",PRK,2019,10.92479318
"Korea, Rep.",KOR,2000,7.09105040
"Korea, Rep.",KOR,2019,15.06348844
Kosovo,XKX,2000,5.92756974
Kosovo,XKX,2019,8.53982412
Kuwait,KWT,2000,1.54306856
Kuwait,KWT,2019,3.60361385
Kyrgyz Republic,KGZ,2000,5.35707872
Kyrgyz Republic,KGZ,2019,5.17384800
Lao PDR,LAO,2000,3.36713947
Lao PDR,LAO,2019,4.17749001
Latvia,LVA,2000,14.99016705
Latvia,LVA,2019,20.40722722
Lebanon,LBN,2000,5.11336660
Lebanon,LBN,2019,8.77970916
Lesotho,LSO,2000,4.52913874
Lesotho,LSO,2019,3.77981769
Liberia,LBR,2000,3.11799411
Liberia,LBR,2019,3.21013030
Libya,LBY,2000,3.68900484
Libya,LBY,2019,4.62502513
Liechtenstein,LIE,2000,10.43396853
Liechtenstein,LIE,2019,18.27913632
Lithuania,LTU,2000,13.84098169
Lithuania,LTU,2019,19.85719080
Luxembourg,LUX,2000,14.03415247
Luxembourg,LUX,2019,14.47006674
"Macao SAR, China",MAC,2000,7.14014576
"Macao SAR, China",MAC,2019,10.62135045
Madagascar,MDG,2000,2.79742095
Madagascar,MDG,2019,3.09198189
Malawi,MWI,2000,3.31076282
Malawi,MWI,2019,2.76517585
Malaysia,MYS,2000,3.87644389
Malaysia,MYS,2019,6.48232176
Maldives,MDV,2000,3.76092349
Maldives,MDV,2019,3.83285049
Mali,MLI,2000,3.22299626
Mali,MLI,2019,2.52301023
Malta,MLT,2000,12.15556584
Malta,MLT,2019,18.58157140
Marshall Islands,MHL,2000,2.24626034
Marshall Islands,MHL,2019,3.57333576
Mauritania,MRT,2000,3.08267853
Mauritania,MRT,2019,3.29913011
Mauritius,MUS,2000,6.11764396
Mauritius,MUS,2019,10.89475771
Mexico,MEX,2000,5.01410426
Mexico,MEX,2019,7.33464157
"Micronesia, Fed. Sts.",FSM,2000,3.15411803
"Micronesia, Fed. Sts.",FSM,2019,4.77276437
Moldova,MDA,2000,10.10025699
Moldova,MDA,2019,13.80146002
Monaco,MCO,2000,22.23574543
Monaco,MCO,2019,36.28539190
Mongolia,MNG,2000,3.42665024
Mongolia,MNG,2019,4.17415725
Montenegro,MNE,2000,11.09330197
Montenegro,MNE,2019,16.20131232
Morocco,MAR,2000,4.32319661
Morocco,MAR,2019,6.72020202
Mozambique,MOZ,2000,2.70113285
Mozambique,MOZ,2019,2.80919999
Myanmar,MMR,2000,5.00086099
Myanmar,MMR,2019,6.31825314
Namibia,NAM,2000,3.14494787
Namibia,NAM,2019,3.57099402
Nauru,NRU,2000,1.62281780
Nauru,NRU,2019,2.04108052
Nepal,NPL,2000,3.81572386
Nepal,NPL,2019,6.04820039
Netherlands,NLD,2000,13.48077976
Netherlands,NLD,2019,19.06485340
New Caledonia,NCL,2000,5.37252687
New Caledonia,NCL,2019,9.99185490
New Zealand,NZL,2000,11.75807645
New Zealand,NZL,2019,15.30161177
Nicaragua,NIC,2000,3.52717354
Nicaragua,NIC,2019,5.11546956
Niger,NER,2000,2.25173181
Niger,NER,2019,2.51074642
Nigeria,NGA,2000,3.03726045
Nigeria,NGA,2019,2.97488504
North Macedonia,MKD,2000,9.76010480
North Macedonia,MKD,2019,15.75880264
Northern Mariana Islands,MNP,2000,1.58068362
Northern Mariana Islands,MNP,2019,5.71277193
Norway,NOR,2000,15.16109250
Norway,NOR,2019,17.39485563
Oman,OMN,2000,2.53342106
Oman,OMN,2019,2.61074293
Pakistan,PAK,2000,3.47834413
Pakistan,PAK,2019,3.98447496
Palau,PLW,2000,5.20374378
Palau,PLW,2019,9.09371840
Panama,PAN,2000,4.94600578
Panama,PAN,2019,8.06954352
Papua New Guinea,PNG,2000,2.51492510
Papua New Guinea,PNG,2019,3.05067327
Paraguay,PRY,2000,3.99281064
Paraguay,PRY,2019,6.03178053
Peru,PER,2000,4.30714619
Peru,PER,2019,8.60697378
Philippines,PHL,2000,2.98848745
Philippines,PHL,2019,4.51942674
Poland,POL,2000,12.24416918
Poland,POL,2019,17.55842170
Portugal,PRT,2000,16.13090064
Portugal,PRT,2019,22.39007840
Puerto Rico (US),PRI,2000,11.56440935
Puerto Rico (US),PRI,2019,21.69549651
Qatar,QAT,2000,1.24381966
Qatar,QAT,2019,1.17212030
Romania,ROU,2000,13.48756795
Romania,ROU,2019,18.60423653
Russian Federation,RUS,2000,12.32969834
Russian Federation,RUS,2019,15.06329933
Rwanda,RWA,2000,2.14435708
Rwanda,RWA,2019,3.35702522
Samoa,WSM,2000,4.46266890
Samoa,WSM,2019,5.17090564
San Marino,SMR,2000,15.52669876
San Marino,SMR,2019,19.65342106
