Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Afghanistan,AFG,..,74.0642395
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Albania,ALB,65.47674561,366.34014893
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Algeria,DZA,61.85785294,242.07049561
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,American Samoa,ASM,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Andorra,AND,1294.09118652,3021.078125
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Angola,AGO,13.15998554,64.4466095
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Antigua and Barbuda,ATG,520.12213135,808.14996338
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Argentina,ARG,702.23309326,1007.45629883
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Armenia,ARM,25.6606369,533.69952393
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Aruba,ABW,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Australia,AUS,1626.73388672,5543.37841797
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Austria,AUT,2301.89208984,5313.19287109
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Azerbaijan,AZE,19.01968193,199.25746155
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Bahamas, The",BHS,948.88244629,1881.40393066
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bahrain,BHR,451.50253296,1030.26379395
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bangladesh,BGD,8.27585602,45.07677078
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Barbados,BRB,622.47875977,1168.11938477
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Belarus,BLR,57.02944183,400.11621094
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Belgium,BEL,1849.91601563,5087.45654297
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Belize,BLZ,139.00151062,298.14306641
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Benin,BEN,14.42371464,33.9457283
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bermuda,BMU,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bhutan,BTN,30.5911293,115.71811676
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bolivia,BOL,42.89028168,241.34619141
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bosnia and Herzegovina,BIH,106.5786972,546.4508667
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Botswana,BWA,206.93144226,438.28546143
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Brazil,BRA,313.92590332,868.17248535
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,British Virgin Islands,VGB,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Brunei Darussalam,BRN,519.05047607,678.81982422
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bulgaria,BGR,94.51976013,733.06878662
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burkina Faso,BFA,10.00902748,41.06895828
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burundi,BDI,5.67927122,22.2435379
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cabo Verde,CPV,59.54011154,211.24963379
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cambodia,KHM,19.27847862,112.5851059
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cameroon,CMR,30.438097,56.79493713
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Canada,CAN,1988.15942383,5098.88720703
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cayman Islands,CYM,..,..
