Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Afghanistan,AFG,12.608,7.064
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Albania,ALB,5.619,7.473
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Algeria,DZA,5.109,4.681
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,American Samoa,ASM,4.421,6.191
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Andorra,AND,6.228,5.56
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Angola,AGO,18.08,7.701
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Antigua and Barbuda,ATG,6.254,6.448
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Argentina,ARG,7.57,7.676
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Armenia,ARM,7.5,8.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Aruba,ABW,5.85,6.145
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Australia,AUS,6.7,6.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Austria,AUT,9.6,9.4
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Azerbaijan,AZE,5.8,5.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Bahamas, The",BHS,6.485,9.321
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bahrain,BHR,2.646,2.104
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bangladesh,BGD,8.276,5.372
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Barbados,BRB,9.13,9.517
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belarus,BLR,13.5,12.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belgium,BEL,10.2,9.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belize,BLZ,5.569,5.04
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Benin,BEN,11.89,9.335
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bermuda,BMU,6.436,8.705
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bhutan,BTN,8.188,6.35
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bolivia,BOL,9.745,7.555
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bosnia and Herzegovina,BIH,7.413,13.102
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Botswana,BWA,12.525,6.408
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Brazil,BRA,6.248,6.452
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,British Virgin Islands,VGB,4.555,5.724
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Brunei Darussalam,BRN,3.472,4.779
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bulgaria,BGR,14.1,16.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Burkina Faso,BFA,15.332,8.564
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Burundi,BDI,15.854,7.394
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cabo Verde,CPV,6.35,5.004
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cambodia,KHM,8.7,6.189
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cameroon,CMR,13.275,8.163
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Canada,CAN,7.1,7.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cayman Islands,CYM,5.552,4.809
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Central African Republic,CAF,16.632,30.25
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Chad,TCD,17.852,12.519
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Channel Islands,CHI,9.2,9.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Chile,CHL,5.011,6.46
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,China,CHN,6.45,7.09
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Colombia,COL,5.574,5.38
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Comoros,COM,10.606,7.644
