Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,174.930991430166,496.6025042585
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,1160.42047054038,6069.43903131027
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,1772.92869122761,4468.45341883656
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,12886.1359517218
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,21810.2503808666,41257.816459345
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,563.733795571487,2493.67884440177
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,12027.4949768222,18896.3721832248
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,7637.01489203628,9955.97478680428
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,593.450581742282,4597.22887399548
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,20681.0230269625,30645.8906024548
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,21908.9968019784,55194.7585097428
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,24487.2974685956,49885.9947355204
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,655.097249579917,4805.75371765917
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,24940.0775086078,33640.3369861278
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,14214.4836839343,27259.7438599327
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,396.670730249751,2129.79896954606
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,11674.6736471764,21912.1501242857
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1276.2880341,6837.77339645635
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,23098.8865077401,46716.6227467964
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4726.50675459616,6171.61449761423
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,487.424141384242,1130.82135339795
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,56542.9569455727,115798.040775578
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,771.924911410619,3576.87987100503
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,975.777060358751,4203.15492855788
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,1338.48059636261,6122.37541352353
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,3450.81180622992,7172.08956480028
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3766.54786339835,9029.83304401079
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,20130.2572346624,30426.5730656528
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,1621.26210738992,10353.7204584127
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,248.908526921752,764.853077774946
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,134.537861752389,234.31061590725
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,1189.51479345891,4380.78117331128
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,296.426687526334,2225.87705485686
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,708.565731625965,1555.22660476477
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,24271.0020563821,46352.8693445211
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,88254.2902486867
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,239.154133726071,449.228467602439
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,163.121663683369,893.336441643325
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,43479.1940767689,60564.6293993681
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,5052.99245766325,14495.716721687
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,969.199513696287,10342.9009524335
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,2555.00751039968,6472.54544924705
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,633.309032776244,1510.23218151592
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,377.925421481395,504.00419142286
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1024.30159109181,2488.42466724916
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,3812.75388284924,12884.6859951989
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,936.636541348798,2141.76836170115
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,4953.65158789022,15563.5987295029
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2751.3817714814,9232.26115935183
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,15841.2612359949,19220.6865793075
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,14388.3525390625,29227.173828125
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,6062.92152842793,24062.7190013343
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,30722.0251837567,59404.2663247723
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,737.612183644052,2837.16902340932
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,4867.39896323759,9491.14995962374
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,2831.45883638033,8183.01623600375
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1382.23421759909,6205.05765246766
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,1366.09274372613,2962.98892023003
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,1982.87093542615,4320.11671534627
