Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Afghanistan,AFG,2.26197021041933,2.37615338349114
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Albania,ALB,7.33069132123503,14.2480986631067
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Algeria,DZA,4.3831209935771,5.77497798452489
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,American Samoa,ASM,3.27766491658532,6.08357067458025
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Andorra,AND,12.3216868386999,13.8257043289506
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Angola,AGO,2.67386240277283,2.70797798313284
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Antigua and Barbuda,ATG,7.36063648013669,9.47314846738577
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Argentina,ARG,9.65977735681297,11.6325391913594
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Armenia,ARM,9.14660843411173,12.0453317121053
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Aruba,ABW,6.77827661767771,13.9419664537338
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Australia,AUS,12.3380926593329,15.9450637793133
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Austria,AUT,15.4406416730563,18.9402993578561
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Azerbaijan,AZE,5.53451830632131,6.62764113456588
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Bahamas, The",BHS,6.69368659965723,10.8243628610412
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bahrain,BHR,2.24991617886124,3.00446835284136
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bangladesh,BGD,3.46140181652951,5.66255837053046
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Barbados,BRB,11.2650393226056,14.2956713458923
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belarus,BLR,13.5188087891952,15.3719450417652
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belgium,BEL,16.8052483305967,19.029838081816
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belize,BLZ,3.96347160910137,4.37513040120157
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Benin,BEN,3.16257337862881,3.03327124628391
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bermuda,BMU,10.8382547664113,18.2327982903583
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bhutan,BTN,3.76166725027351,5.92796512661737
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bolivia,BOL,5.25496624546678,5.69637597867023
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bosnia and Herzegovina,BIH,10.9806993004303,19.6456887437667
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Botswana,BWA,3.34229074167639,3.84555352446718
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Brazil,BRA,5.15305600233732,9.27307434876159
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,British Virgin Islands,VGB,4.58217029370353,8.05066699638682
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Brunei Darussalam,BRN,2.79115506212778,5.28835727839523
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bulgaria,BGR,16.5832606245132,21.4794589439076
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Burkina Faso,BFA,2.94366827915754,2.55918669789944
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Burundi,BDI,2.39968866464349,2.40126821487113
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cabo Verde,CPV,4.84880905766929,5.81429049375224
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cambodia,KHM,2.81651839524635,5.27307790694231
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cameroon,CMR,3.32752148162185,2.78429920377855
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Canada,CAN,12.5363093892577,17.5318595224519
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cayman Islands,CYM,5.5653576649695,7.16354508592392
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Central African Republic,CAF,2.31739754863579,2.18855387385715
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Chad,TCD,2.82652574402089,2.04845628973613
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Channel Islands,CHI,14.4478053325591,18.585184737986
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Chile,CHL,8.17687271404416,12.3260602912509
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,China,CHN,7.01747574076251,12.0613659717192
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Colombia,COL,4.55122154977289,8.19032265077422
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Comoros,COM,4.18342801767275,4.45791771445426
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Congo, Dem. Rep.",COD,2.9571711724895,3.09329491821841
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Congo, Rep.",COG,3.12687072870937,2.72775052651388
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Costa Rica,CRI,5.56966827918255,10.105472418687
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cote d'Ivoire,CIV,2.42956891811539,2.48842186373225
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Croatia,HRV,15.916732940686,21.1822163945349
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cuba,CUB,9.8186726684684,15.3697053690774
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Curacao,CUW,9.13566758401275,14.1400632046554
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cyprus,CYP,9.94469045808837,13.3825533556934
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Czechia,CZE,13.7609941540348,19.9485877378936
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Denmark,DNK,14.8179045532594,19.7143802297606
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Djibouti,DJI,3.1642465695684,4.4058145932476
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Dominica,DMA,9.86994789157945,11.9680909834194
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Dominican Republic,DOM,4.28668866835427,6.58282666119334
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ecuador,ECU,4.70853356421724,7.40791180679909
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Egypt, Arab Rep.",EGY,4.02584673124432,4.5935289970751
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,El Salvador,SLV,4.66835628160877,7.62636268560709
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Equatorial Guinea,GNQ,3.32656029826001,3.44128197191076
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Eritrea,ERI,3.16749079118179,4.06758052141323
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Estonia,EST,14.9933750752507,19.8965346883511
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Eswatini,SWZ,2.38670806552825,3.79565953652678
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ethiopia,ETH,2.61417882238302,3.03819036170098
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Faroe Islands,FRO,13.5209416917602,17.4879199097248
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Fiji,FJI,3.43776793921816,5.8208579193671
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Finland,FIN,14.9164594925449,22.061393842071
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,France,FRA,16.0086458283083,20.4100888765873
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,French Polynesia,PYF,4.2165792200119,8.77511123216388
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Gabon,GAB,4.92288756617127,3.99260397789748
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Gambia, The",GMB,3.02332957295607,2.71508895151666
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Georgia,GEO,12.4064252541033,14.7044720808539
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Germany,DEU,16.4607313825805,21.6283933065816
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ghana,GHA,3.14081207665882,3.43641156155462
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Gibraltar,GIB,15.1304630264535,17.46069758269
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Greece,GRC,17.0253560470145,22.1273853041386
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Greenland,GRL,5.04816887125613,8.58444476142928
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Grenada,GRD,8.49131231910359,10.7581812616667
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Guam,GUM,5.22225345953207,10.3310713932562
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Guatemala,GTM,3.73815397220214,4.46874605807685
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Guinea,GIN,3.95906004290156,3.45692449778455
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Guinea-Bissau,GNB,3.59018757382624,2.98298111090331
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Guyana,GUY,3.8441775448726,5.79881510279633
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Haiti,HTI,3.57857516983613,4.37038159637999
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Honduras,HND,2.95559781065703,3.88983564207188
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Hong Kong SAR, China",HKG,11.1115337025092,17.9525256642131
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Hungary,HUN,14.9079600272781,19.6029229874294
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Iceland,ISL,11.5722767349261,14.299299000969
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,India,IND,4.41058746962383,6.22347304109804
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Indonesia,IDN,5.01249966505118,6.48567879421327
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Iran, Islamic Rep.",IRN,4.19808912432273,7.01598841078797
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Iraq,IRQ,3.08035037259987,3.31720320491488
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ireland,IRL,11.1884415470003,14.2437778846663
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Isle of Man,IMN,16.8836490040841,21.5915384752818
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Israel,ISR,9.72425912757915,11.8854991652299
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Italy,ITA,18.2167668390368,23.104171093177
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Jamaica,JAM,6.06064208271564,6.94823486657852
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Japan,JPN,17.4418311728625,28.6287707536412
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Jordan,JOR,2.69514514301286,3.77701553656163
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kazakhstan,KAZ,6.69336584284892,7.48037890518547
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kenya,KEN,2.2276113643328,2.74689322576961
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kiribati,KIR,3.41315608319321,3.89281837952558
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Korea, Dem. People's Rep.",PRK,6.38613952275952,10.9247931815613
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Korea, Rep.",KOR,7.091050395922,15.0634884441589
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kosovo,XKX,5.9275697402347,8.53982411816925
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kuwait,KWT,1.54306855905406,3.60361384527711
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kyrgyz Republic,KGZ,5.35707871543222,5.17384800051124
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lao PDR,LAO,3.36713947392042,4.17749001037701
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Latvia,LVA,14.9901670493231,20.4072272200842
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lebanon,LBN,5.11336660014767,8.77970915650001
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lesotho,LSO,4.52913874005508,3.77981769304005
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Liberia,LBR,3.11799410986551,3.21013029964686
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Libya,LBY,3.68900484192194,4.62502513115857
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Liechtenstein,LIE,10.4339685319965,18.2791363163372
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lithuania,LTU,13.8409816929598,19.8571907989029
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Luxembourg,LUX,14.0341524651339,14.4700667405182
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Macao SAR, China",MAC,7.14014575506107,10.6213504547121
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Madagascar,MDG,2.79742095372473,3.09198189312276
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malawi,MWI,3.31076281585749,2.76517585218182
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malaysia,MYS,3.87644389000678,6.48232176367792
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Maldives,MDV,3.76092348551602,3.83285048520598
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mali,MLI,3.2229962556958,2.52301022604725
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malta,MLT,12.155565836032,18.5815714000859
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Marshall Islands,MHL,2.24626034137635,3.57333575721768
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mauritania,MRT,3.08267852944097,3.29913011324822
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mauritius,MUS,6.11764396444765,10.8947577102786
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mexico,MEX,5.01410425565983,7.33464157467799
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Micronesia, Fed. Sts.",FSM,3.15411802506158,4.77276436771186
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Moldova,MDA,10.1002569914071,13.8014600191097
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Monaco,MCO,22.2357454282149,36.2853919021753
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mongolia,MNG,3.42665024425888,4.17415725035646
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Montenegro,MNE,11.0933019654096,16.2013123164339
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Morocco,MAR,4.32319661006496,6.72020202315888
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mozambique,MOZ,2.70113285403567,2.80919999009516
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Myanmar,MMR,5.00086099085685,6.31825313612298
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Namibia,NAM,3.14494786508872,3.57099401639958
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nauru,NRU,1.62281780181952,2.04108052127384
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nepal,NPL,3.81572385710734,6.04820039203474
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Netherlands,NLD,13.4807797576145,19.0648534024819
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,New Caledonia,NCL,5.37252687159903,9.99185489728708
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,New Zealand,NZL,11.7580764490843,15.3016117661383
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nicaragua,NIC,3.52717354352055,5.11546955676403
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Niger,NER,2.25173181066637,2.5107464204291
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nigeria,NGA,3.03726044526388,2.97488504235954
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,North Macedonia,MKD,9.76010479996986,15.7588026396984
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Northern Mariana Islands,MNP,1.58068362189404,5.71277192545035
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Norway,NOR,15.1610925017374,17.3948556308139
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Oman,OMN,2.53342105833954,2.61074293420886
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Pakistan,PAK,3.47834412663736,3.98447495645256
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Palau,PLW,5.20374377558203,9.09371839532532
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Panama,PAN,4.94600577969109,8.06954352497892
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Papua New Guinea,PNG,2.51492510425427,3.05067327435397
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Paraguay,PRY,3.99281063536637,6.03178053058008
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Peru,PER,4.30714618898456,8.60697377690978
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Philippines,PHL,2.98848745457432,4.51942674426754
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Poland,POL,12.2441691813974,17.5584217024462
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Portugal,PRT,16.1309006351084,22.3900784021367
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Puerto Rico (US),PRI,11.56440935193,21.6954965103704
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Qatar,QAT,1.24381966204075,1.17212029932225
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Romania,ROU,13.4875679488788,18.604236526527
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Russian Federation,RUS,12.3296983445071,15.063299330246
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Rwanda,RWA,2.14435707728474,3.35702522122747
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Samoa,WSM,4.46266890497289,5.17090564139966
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,San Marino,SMR,15.5266987574163,19.6534210602257
